timepoint,genotype,count,fitness
6,01001100,3,1.0499999999999998
6,01001110,1,1.23
6,01010000,7,1.35
6,01010001,8,1.45
6,01010010,1,1.28
6,01010100,1,1.3
6,01011000,1,1.25
6,01100001,2,1.2
6,01110001,1,1.35
6,01110100,2,1.5
6,01110101,1,1.54
6,01111101,1,1.5400000000000003
6,10000000,15,1.35
6,10000001,8,1.45
6,10000010,9,1.53
6,10000011,3,1.63
6,10000100,3,1.3
6,10000101,4,1.4
6,10000110,1,1.48
6,10001000,11,1.6
6,10001001,1,1.98
6,10001010,2,1.78
6,10001011,1,2.16
6,10001100,1,1.55
6,10001101,5,1.93
6,10001110,2,1.73
6,10001111,1,2.0500000000000003
6,10010000,16,1.5
6,10010001,6,1.6
6,10010101,1,1.55
6,10011000,3,1.75
6,10100000,7,1.25
6,10100001,2,1.35
6,10100010,1,1.43
6,10100011,2,1.53
6,10100111,1,1.72
6,10101000,4,1.5
6,10101001,2,1.8800000000000001
6,10110000,8,1.4
6,10110111,1,1.44
6,10111010,1,1.52
6,11000000,34,1.9500000000000002
6,11000001,12,2.05
6,11000010,5,2.13
6,11000011,5,2.23
6,11000100,22,1.9
6,11000101,5,2.0
6,11000110,1,2.08
6,11000111,6,2.12
6,11001000,36,2.4000000000000004
6,11001001,3,2.7799999999999994
6,11001010,5,2.58
6,11001100,15,2.3499999999999996
6,11001101,5,2.6699999999999995
6,11001110,1,2.47
6,11001111,1,2.67
6,11010000,9,2.1
6,11010001,3,2.2
6,11010010,2,2.0300000000000002
6,11010011,2,2.07
6,11010100,3,2.05
6,11011000,1,2.55
6,11011011,1,2.619999999999999
6,11011100,1,2.44
6,11100000,7,1.85
6,11100001,2,1.9500000000000002
6,11100011,5,2.07
6,11100100,3,2.1
6,11100101,2,2.1399999999999997
6,11100111,1,2.1399999999999997
6,11101001,3,2.6199999999999997
6,11110001,7,2.04
7,00000000,5,1.0
7,00000001,5,1.1
7,00000010,2,1.18
7,00000011,2,1.28
7,00000100,1,0.95
7,00000110,2,1.13
7,00001000,3,1.25
7,00001001,3,1.6300000000000001
7,00001010,1,1.43
7,00001100,1,1.2
7,00001101,4,1.58
7,00001110,2,1.38
7,00010000,1,1.15
7,00010001,1,1.25
7,00010010,1,1.08
7,00010101,2,1.2
7,00010110,1,1.03
7,00011000,3,1.4
7,00011001,2,1.78
7,00011100,2,1.35
7,00100000,1,0.9
7,00100001,1,1.0
7,00100010,1,1.08
7,00101000,2,1.15
7,00101001,2,1.53
7,00101111,2,1.9
7,01000000,6,1.2
7,01000001,5,1.3
7,01000010,4,1.38
7,01000011,2,1.48
7,01000100,2,1.15
7,01001000,2,1.1
7,01001001,2,1.4800000000000002
7,01001010,1,1.2799999999999998
7,01001100,3,1.0499999999999998
7,01010000,5,1.35
7,01010001,5,1.45
7,01010010,1,1.28
7,01100001,1,1.2
7,01101001,1,1.3800000000000001
7,01110000,1,1.25
7,01110100,2,1.5
7,10000000,11,1.35
7,10000001,7,1.45
7,10000010,8,1.53
7,10000011,1,1.63
7,10000100,3,1.3
7,10000101,3,1.4
7,10001000,13,1.6
7,10001001,2,1.98
7,10001010,3,1.78
7,10001011,1,2.16
7,10001100,1,1.55
7,10001101,8,1.93
7,10001111,2,2.0500000000000003
7,10010000,10,1.5
7,10010001,2,1.6
7,10010011,1,1.53
7,10010100,1,1.45
7,10010101,1,1.55
7,10011000,5,1.75
7,10100000,6,1.25
7,10100001,2,1.35
7,10100101,1,1.6
7,10101000,4,1.5
7,10101001,2,1.8800000000000001
7,10101100,1,1.75
7,10101101,2,2.07
7,10110000,1,1.4
7,10110011,1,1.3699999999999999
7,10110111,1,1.44
7,11000000,25,1.9500000000000002
7,11000001,16,2.05
7,11000010,6,2.13
7,11000011,4,2.23
7,11000100,27,1.9
7,11000101,3,2.0
7,11000110,3,2.08
7,11000111,3,2.12
7,11001000,59,2.4000000000000004
7,11001001,13,2.7799999999999994
7,11001010,10,2.58
7,11001011,1,2.9
7,11001100,14,2.3499999999999996
7,11001101,10,2.6699999999999995
7,11001110,4,2.47
7,11001111,2,2.67
7,11010000,21,2.1
7,11010001,10,2.2
7,11010011,6,2.07
7,11010100,2,2.05
7,11010110,1,1.92
7,11011000,3,2.55
7,11011011,2,2.619999999999999
7,11011100,2,2.44
7,11100000,11,1.85
7,11100001,3,1.9500000000000002
7,11100011,9,2.07
7,11100100,1,2.1
7,11100101,1,2.1399999999999997
7,11100110,1,2.2199999999999998
7,11100111,1,2.1399999999999997
7,11101000,3,2.3
7,11101001,4,2.6199999999999997
7,11101010,1,2.4200000000000004
7,11101011,1,2.619999999999999
7,11101100,2,2.4899999999999998
7,11101101,1,2.6899999999999995
7,11101111,1,2.5699999999999994
7,11110000,4,2.0
7,11110001,8,2.04
7,11110100,1,2.19
8,00000000,2,1.0
8,00000001,2,1.1
8,00000011,1,1.28
8,00000110,1,1.13
8,00001000,2,1.25
8,00001001,2,1.6300000000000001
8,00001010,1,1.43
8,00001101,2,1.58
8,00001110,1,1.38
8,00001111,1,1.76
8,00010001,1,1.25
8,00011000,1,1.4
8,00011001,2,1.78
8,00011100,1,1.35
8,00011101,1,1.7300000000000002
8,00100001,1,1.0
8,00101001,1,1.53
8,00101011,1,1.7100000000000002
8,00101111,2,1.9
8,01000000,3,1.2
8,01000011,1,1.48
8,01000100,1,1.15
8,01001000,3,1.1
8,01001001,1,1.4800000000000002
8,01001010,2,1.2799999999999998
8,01001011,1,1.66
8,01001100,3,1.0499999999999998
8,01001110,1,1.23
8,01001111,1,1.55
8,01010000,4,1.35
8,01010001,1,1.45
8,10000000,4,1.35
8,10000001,4,1.45
8,10000010,3,1.53
8,10000100,2,1.3
8,10000101,3,1.4
8,10000110,1,1.48
8,10001000,5,1.6
8,10001001,3,1.98
8,10001010,4,1.78
8,10001011,1,2.16
8,10001100,2,1.55
8,10001101,10,1.93
8,10001111,3,2.0500000000000003
8,10010000,4,1.5
8,10010001,3,1.6
8,10010010,1,1.43
8,10010011,1,1.53
8,10010100,2,1.45
8,10011000,3,1.75
8,10011010,1,1.68
8,10011100,1,1.7
8,10100000,1,1.25
8,10100001,1,1.35
8,10100010,2,1.43
8,10100011,2,1.53
8,10100111,1,1.72
8,10101000,1,1.5
8,10101001,1,1.8800000000000001
8,10101010,1,1.68
8,10101100,1,1.75
8,10101101,2,2.07
8,10101111,1,2.0699999999999994
8,10110000,1,1.4
8,10110001,2,1.5
8,10111000,1,1.65
8,11000000,9,1.9500000000000002
8,11000001,12,2.05
8,11000010,7,2.13
8,11000011,7,2.23
8,11000100,23,1.9
8,11000101,7,2.0
8,11000110,2,2.08
8,11000111,4,2.12
8,11001000,85,2.4000000000000004
8,11001001,16,2.7799999999999994
8,11001010,14,2.58
8,11001011,4,2.9
8,11001100,19,2.3499999999999996
8,11001101,16,2.6699999999999995
8,11001110,15,2.47
8,11001111,2,2.67
8,11010000,20,2.1
8,11010001,11,2.2
8,11010010,2,2.0300000000000002
8,11010011,7,2.07
8,11010100,3,2.05
8,11010110,1,1.92
8,11011000,7,2.55
8,11011010,1,2.4199999999999995
8,11011011,3,2.619999999999999
8,11011100,2,2.44
8,11011110,1,2.1899999999999995
8,11011111,1,2.2699999999999996
8,11100000,6,1.85
8,11100001,8,1.9500000000000002
8,11100011,8,2.07
8,11100100,6,2.1
8,11100101,2,2.1399999999999997
8,11100110,2,2.2199999999999998
8,11100111,1,2.1399999999999997
8,11101000,8,2.3
8,11101001,8,2.6199999999999997
8,11101011,3,2.619999999999999
8,11101100,4,2.4899999999999998
8,11101101,1,2.6899999999999995
8,11101111,1,2.5699999999999994
8,11110000,1,2.0
8,11110001,8,2.04
8,11110011,1,1.7900000000000003
8,11110100,1,2.19
8,11111001,1,2.59
8,11111010,1,2.1399999999999997
8,11111100,1,2.46
9,00000100,1,0.95
9,00000101,1,1.05
9,00000110,1,1.13
9,00001001,2,1.6300000000000001
9,00001100,1,1.2
9,00001101,1,1.58
9,00010001,1,1.25
9,00011001,3,1.78
9,00011101,1,1.7300000000000002
9,00101011,2,1.7100000000000002
9,00101101,1,1.78
9,00101111,1,1.9
9,01000000,1,1.2
9,01000001,1,1.3
9,01000010,1,1.38
9,01000011,3,1.48
9,01000100,1,1.15
9,01001000,9,1.1
9,01001001,2,1.4800000000000002
9,01001011,1,1.66
9,01001101,2,1.43
9,01001110,3,1.23
9,01010001,2,1.45
9,01010011,1,1.38
9,01011000,1,1.25
9,01011011,1,1.4999999999999998
9,01100011,1,1.38
9,01100111,1,1.57
9,01101001,1,1.3800000000000001
9,01101110,1,1.3699999999999999
9,01110001,1,1.35
9,10000000,2,1.35
9,10000001,3,1.45
9,10000100,3,1.3
9,10000101,2,1.4
9,10000111,1,1.58
9,10001000,4,1.6
9,10001001,4,1.98
9,10001010,3,1.78
9,10001011,1,2.16
9,10001100,2,1.55
9,10001101,10,1.93
9,10001111,5,2.0500000000000003
9,10010000,1,1.5
9,10010001,1,1.6
9,10010010,1,1.43
9,10010011,2,1.53
9,10010100,1,1.45
9,10011000,1,1.75
9,10011001,1,2.13
9,10011010,1,1.68
9,10100001,1,1.35
9,10100011,2,1.53
9,10100100,1,1.5
9,10100111,1,1.72
9,10101101,2,2.07
9,10110001,3,1.5
9,10110100,1,1.6500000000000001
9,10110101,1,1.69
9,11000000,7,1.9500000000000002
9,11000001,11,2.05
9,11000010,6,2.13
9,11000011,9,2.23
9,11000100,11,1.9
9,11000101,2,2.0
9,11000110,6,2.08
9,11000111,4,2.12
9,11001000,71,2.4000000000000004
9,11001001,30,2.7799999999999994
9,11001010,18,2.58
9,11001011,9,2.9
9,11001100,19,2.3499999999999996
9,11001101,22,2.6699999999999995
9,11001110,13,2.47
9,11001111,3,2.67
9,11010000,17,2.1
9,11010001,8,2.2
9,11010010,2,2.0300000000000002
9,11010011,4,2.07
9,11010100,2,2.05
9,11011000,10,2.55
9,11011001,1,2.8699999999999997
9,11011010,2,2.4199999999999995
9,11011011,11,2.619999999999999
9,11011100,2,2.44
9,11011101,2,2.6399999999999997
9,11011110,2,2.1899999999999995
9,11100000,2,1.85
9,11100001,6,1.9500000000000002
9,11100010,1,2.0300000000000002
9,11100011,4,2.07
9,11100100,6,2.1
9,11100101,2,2.1399999999999997
9,11100110,1,2.2199999999999998
9,11100111,1,2.1399999999999997
9,11101000,12,2.3
9,11101001,14,2.6199999999999997
9,11101010,1,2.4200000000000004
9,11101011,4,2.619999999999999
9,11101100,9,2.4899999999999998
9,11101101,2,2.6899999999999995
9,11101110,1,2.4899999999999993
9,11101111,4,2.5699999999999994
9,11110000,1,2.0
9,11110001,6,2.04
9,11110011,1,1.7900000000000003
9,11110100,2,2.19
9,11111000,1,2.39
9,11111001,1,2.59
9,11111100,2,2.46
9,11111110,1,2.09
10,00000001,1,1.1
10,00000110,2,1.13
10,00001000,1,1.25
10,00001001,2,1.6300000000000001
10,00001011,1,1.81
10,00001100,2,1.2
10,00001101,1,1.58
10,00011001,2,1.78
10,00101011,2,1.7100000000000002
10,00101111,1,1.9
10,00110100,1,1.3
10,00111001,1,1.68
10,01000011,2,1.48
10,01000101,1,1.25
10,01000110,1,1.33
10,01001000,4,1.1
10,01001001,1,1.4800000000000002
10,01001010,1,1.2799999999999998
10,01001011,2,1.66
10,01001100,2,1.0499999999999998
10,01001101,2,1.43
10,01001110,2,1.23
10,01010000,1,1.35
10,01010001,1,1.45
10,01010011,2,1.38
10,01011000,1,1.25
10,01011101,1,1.5199999999999998
10,01101000,1,1.0
10,01101011,1,1.4999999999999998
10,10000000,1,1.35
10,10000001,1,1.45
10,10000011,1,1.63
10,10000101,1,1.4
10,10001000,6,1.6
10,10001001,4,1.98
10,10001010,3,1.78
10,10001101,9,1.93
10,10001111,4,2.0500000000000003
10,10010000,1,1.5
10,10010001,2,1.6
10,10011001,1,2.13
10,10011010,1,1.68
10,10011011,2,2.0000000000000004
10,10011101,1,2.02
10,10100001,1,1.35
10,10100011,2,1.53
10,10101001,2,1.8800000000000001
10,10101100,2,1.75
10,10101101,1,2.07
10,10110100,1,1.6500000000000001
10,10110101,1,1.69
10,11000000,7,1.9500000000000002
10,11000001,13,2.05
10,11000010,4,2.13
10,11000011,12,2.23
10,11000100,4,1.9
10,11000101,3,2.0
10,11000110,3,2.08
10,11000111,3,2.12
10,11001000,56,2.4000000000000004
10,11001001,39,2.7799999999999994
10,11001010,20,2.58
10,11001011,17,2.9
10,11001100,12,2.3499999999999996
10,11001101,29,2.6699999999999995
10,11001110,14,2.47
10,11001111,3,2.67
10,11010000,11,2.1
10,11010001,2,2.2
10,11010010,2,2.0300000000000002
10,11010011,4,2.07
10,11010100,1,2.05
10,11010101,2,2.09
10,11011000,8,2.55
10,11011001,1,2.8699999999999997
10,11011010,4,2.4199999999999995
10,11011011,15,2.619999999999999
10,11011100,4,2.44
10,11011101,8,2.6399999999999997
10,11011110,2,2.1899999999999995
10,11011111,1,2.2699999999999996
10,11100001,4,1.9500000000000002
10,11100010,3,2.0300000000000002
10,11100011,3,2.07
10,11100100,8,2.1
10,11100101,5,2.1399999999999997
10,11100110,3,2.2199999999999998
10,11101000,9,2.3
10,11101001,18,2.6199999999999997
10,11101010,1,2.4200000000000004
10,11101011,10,2.619999999999999
10,11101100,9,2.4899999999999998
10,11101101,7,2.6899999999999995
10,11101110,1,2.4899999999999993
10,11101111,3,2.5699999999999994
10,11110000,2,2.0
10,11110001,5,2.04
10,11111000,5,2.39
10,11111001,3,2.59
10,11111100,5,2.46
10,11111110,1,2.09
11,00000001,1,1.1
11,00001001,2,1.6300000000000001
11,00001100,1,1.2
11,00001111,1,1.76
11,00110100,1,1.3
11,01000001,2,1.3
11,01000011,2,1.48
11,01000101,2,1.25
11,01001001,4,1.4800000000000002
11,01001011,2,1.66
11,01001101,2,1.43
11,01001110,2,1.23
